#{"t_start": 1769799961.743017, "env_id": "None"}
r,l,t
495.0,13,467.928353
461.0,13,468.061559
881.0,19,468.344583
1295.0,37,469.289918
637.0,15,469.510746
1093.0,28,470.028635
946.0,26,470.357889
1294.0,46,471.263674
480.0,13,471.445599
576.0,19,471.790803
567.0,8,471.902308
249.0,15,472.077219
924.0,25,472.501543
1057.0,34,473.062582
304.0,15,473.218672
1068.0,30,473.645335
578.0,9,473.790052
1269.0,36,474.69772
768.0,27,475.170393
712.0,13,475.393813
313.0,14,475.562966
758.0,18,475.808666
747.0,17,476.067512
730.0,9,476.224449
885.0,23,476.598902
769.0,16,476.873817
537.0,8,476.99394
603.0,10,477.118517
1168.0,33,477.636745
858.0,20,477.911026
484.0,7,478.003281
740.0,17,478.242706
1190.0,35,478.770729
1554.0,46,479.814145
364.0,15,479.961445
466.0,16,480.186069
517.0,15,480.375191
1354.0,37,481.066766
870.0,20,481.39809
1304.0,28,481.860921
1112.0,26,482.345031
380.0,7,482.442099
1401.0,45,483.392636
792.0,15,483.605308
913.0,22,483.890558
834.0,18,484.127789
507.0,13,484.291191
651.0,18,484.590599
694.0,17,484.824392
927.0,20,485.206625
1134.0,33,485.734944
1349.0,37,486.387311
565.0,16,486.580123
989.0,24,486.86246
590.0,15,487.052896
826.0,18,487.32069
380.0,8,487.422551
583.0,19,487.73958
1111.0,45,488.575951
1335.0,48,489.696748
1092.0,23,490.096849
669.0,24,490.466956
708.0,21,490.772654
855.0,23,491.098312
1098.0,28,491.629747
735.0,14,491.830206
605.0,11,491.977585
766.0,20,492.245543
696.0,15,492.491316
1213.0,25,492.926018
1366.0,43,493.823677
862.0,21,494.117969
846.0,18,494.38245
899.0,19,494.640291
671.0,9,494.78885
530.0,10,494.907543
937.0,25,495.254485
652.0,9,495.385954
751.0,14,495.569495
1278.0,35,496.205005
1150.0,32,496.669012
650.0,19,496.948159
1234.0,34,497.523303
381.0,8,497.622144
1543.0,44,498.521333
970.0,21,498.920808
577.0,8,499.012146
681.0,18,499.261736
1014.0,37,499.986516
656.0,10,500.10029
367.0,13,502.20639
413.0,8,502.305293
1164.0,33,502.852045
454.0,12,503.007386
650.0,14,503.213961
1079.0,27,503.638867
867.0,20,503.90352
627.0,15,504.093488
1453.0,45,505.026024
578.0,18,505.219144
602.0,14,505.404129
438.0,15,505.56403
1324.0,37,506.269982
785.0,18,506.53757
501.0,13,506.680319
1022.0,22,506.95645
949.0,22,507.253008
765.0,13,507.411937
634.0,19,507.661939
1159.0,45,508.713535
540.0,17,508.913797
1037.0,27,509.371583
601.0,16,509.566478
1102.0,29,510.109523
622.0,16,510.36447
559.0,16,510.626736
941.0,30,511.192048
968.0,26,511.631986
681.0,17,511.864907
1417.0,40,512.600222
639.0,14,512.815112
475.0,11,512.952476
1043.0,34,513.476673
455.0,17,513.748409
1127.0,40,514.441744
768.0,21,514.71844
530.0,8,514.838553
388.0,7,514.930749
1261.0,38,515.633897
273.0,16,515.839342
473.0,10,515.970201
683.0,15,516.149353
629.0,9,516.284956
537.0,14,516.477989
1119.0,29,517.019433
1469.0,45,517.881409
518.0,10,517.988337
932.0,32,518.548533
1113.0,32,519.19838
687.0,20,519.474801
877.0,25,519.89928
1264.0,43,520.997987
881.0,19,521.326464
316.0,13,521.464833
542.0,13,521.663323
839.0,18,521.864668
1080.0,26,522.236871
572.0,9,522.381765
668.0,17,522.61422
565.0,12,522.731657
1154.0,30,523.272276
1325.0,39,524.063403
841.0,15,524.313549
844.0,17,524.562704
641.0,14,524.743663
573.0,9,524.905953
675.0,9,525.053417
719.0,23,525.391146
580.0,9,525.565388
1450.0,45,526.525119
465.0,11,526.665616
627.0,10,526.791175
1189.0,34,527.540456
1530.0,45,528.508873
1076.0,32,529.14616
800.0,20,529.550083
924.0,34,530.280452
1046.0,35,530.874018
637.0,13,531.061252
845.0,24,531.411034
487.0,8,531.510631
741.0,20,531.776465
699.0,14,531.940481
573.0,15,532.105393
579.0,9,532.271099
511.0,15,532.488133
1107.0,37,533.205682
367.0,7,533.303014
413.0,11,533.436632
689.0,20,533.77838
991.0,26,534.291679
552.0,14,534.485106
812.0,19,534.738525
677.0,16,534.947414
825.0,24,535.345193
1637.0,48,536.265969
979.0,31,538.778988
468.0,10,538.892168
1014.0,29,539.407676
1041.0,29,539.913028
644.0,24,540.312762
483.0,8,540.410483
826.0,22,540.805994
1524.0,46,541.875508
765.0,18,542.109843
581.0,9,542.254908
1164.0,28,542.748247
492.0,13,542.900463
727.0,19,543.234254
412.0,12,543.392871
1210.0,39,544.196947
1222.0,36,544.841359
596.0,11,544.991673
1214.0,39,545.756645
1119.0,27,546.192774
1237.0,31,546.686947
575.0,17,546.907089
670.0,9,547.036972
1478.0,39,547.744746
476.0,14,547.900136
1487.0,43,548.751837
769.0,22,549.142644
1224.0,28,549.54344
382.0,7,549.64267
1057.0,21,549.945171
725.0,9,550.074132
457.0,10,550.228608
578.0,9,550.355583
945.0,24,550.747241
1410.0,40,551.666789
1145.0,33,552.365176
678.0,15,552.565256
733.0,17,552.853777
808.0,20,553.162229
870.0,18,553.404547
703.0,9,553.567775
614.0,9,553.701186
1059.0,32,554.193715
1017.0,30,554.636685
383.0,13,554.792598
1270.0,42,555.733036
690.0,16,555.936926
1662.0,47,556.850069
686.0,24,557.250705
1002.0,21,557.570971
700.0,16,557.773176
668.0,11,557.945802
613.0,18,558.227321
666.0,11,558.400688
616.0,22,558.791184
477.0,16,558.95983
563.0,10,559.075169
1070.0,31,559.639043
1055.0,35,560.347032
692.0,9,560.479765
